
Brandon Dubinsky,Brandon Dubinsky,1.0
Brandon Saad,Brandon Gignac,0.6923076923076923
Brandon Manning,Brandon Manning,1.0
Brandon Montour,Brandon Montour,1.0
Brandon Pirri,Brandon Pirri,1.0
Brandon Saad,Brandon Saad,1.0
Brandon Sutter,Brandon Sutter,1.0
Brandon Tanev,Brandon Tanev,1.0
Brayden McNabb,Brayden McNabb,1.0
Brayden Point,Brayden Point,1.0
Brayden Schenn,Brayden Schenn,1.0
Braydon Coburn,Braydon Coburn,1.0
Brendan Gallagher,Brendan Gallagher,1.0
Brendan Gaunce,Brendan Gaunce,1.0
Brendan Guhle,Brendan Guhle,1.0
Brendan Leipsic,Brendan Leipsic,1.0
Brendan Lemieux,Brendan Lemieux,1.0
Brendan Perlini,Brendan Perlini,1.0
Brendan Smith,Brendan Smith,1.0
Brenden Dillon,Brenden Dillon,1.0
Brennan Menell,Brennan Menell,1.0
Brent Burns,Brent Burns,1.0
Brent Seabrook,Brent Seabrook,1.0
Brett Connolly,Brett Connolly,1.0
Brett Howden,Brett Howden,1.0
Brett Kulak,Brett Kulak,1.0
Brett Pesce,Brett Pesce,1.0
Brett Ritchie,Brett Ritchie,1.0
Brett Seney,Brett Seney,1.0
Brian Boyle,Brian Boyle,1.0
Brian Dumoulin,Brian Dumoulin,1.0
Brian Elliott,Brian Elliott,1.0
Brian Gibbons,Brian Gibbons,1.0
Brian Lashoff,Brian Lashoff,1.0
Brock Boeser,Brock Boeser,1.0
Brock McGinn,Brock McGinn,1.0
Brock Nelson,Brock Nelson,1.0
Sam Lafferty,Brogan Rafferty,0.6666666666666666
Brooks Orpik,Brooks Orpik,1.0
Bryan Little,Bryan Little,1.0
Bryan Rust,Bryan Rust,1.0
C.J. Smith,C.J. Smith,1.0
Cal Clutterbuck,Cal Clutterbuck,1.0
Cale Fleury,Cale Fleury,1.0
Cale Makar,Cale Makar,1.0
Caleb Jones,Caleb Jones,1.0
Calle Jarnkrok,Calle Jarnkrok,1.0
Calle Rosen,Calle Rosen,1.0
Calvin de Haan,Calvin de Haan,1.0
Calvin Petersen,Calvin Petersen,1.0
