Vegas_Teams,NCAA_Teams
richmond,UConn
rider,UCRiverside
robertmorris,UCSB
rutgers,UNCWilmington
sacredheart,USC
saintbonaventure,USCUpstate
saintfranciscollegenewyork,UtahValley
saintfrancispennsylvania,UTMartin
saintjohns,Vermont
saintjosephs,VirginiaTech
saintlouis,Wagner
saintmaryscollegecalifornia,WashingtonState
saintpeterscollege,WesternIllinois
samford,WilliamMary
samhoustonstate,Wofford
sandiego,WrightState
sandiegostate,Yale
sanfrancisco,AbileneChristian
sanjosestate,AirForce
santaclara,AlabamaAM
seattleuniversity,American
setonhall,Arizona
sienacollege,Arkansas
southalabama,BoiseState
southcarolina,BostonUniversity
southcarolinastate,Bradley
southcarolinaupstate,BYU
southdakota,CalStateFullerton
southdakotastate,CentralArkansas
southeasternlouisiana,CharlestonSouthern
southeastmissouristate,Cincinnati
southernam,Clemson
southerncalifornia,CollegeofCharleston
southernillinois,DelawareState
southernillinoisedwardsville,Drake
southernmethodist,EasternMichigan
southernmississippi,Elon
southernutah,Evansville
southflorida,FloridaInternational
stanford,Fordham
stephenfaustinstate,GeorgiaState
stetson,GeorgiaTech
stonybrooksuny,GrandCanyon
sunybuffalo,GreenBay
syracuse,Hawaii
temple,HighPoint
tennessee,Houston
tennesseechattanooga,IUPUI
tennesseemartin,Kansas
tennesseestate,Kentucky
tennesseetech,Lehigh
texasam,LoyolaMD
texasamcorpuschristi,Maine
texasarlington,Manhattan
texasaustin,MiamiFL
texaschristian,MichiganState
texaselpaso,MississippiValleyState
texasriograndevalley,MissouriState
texassanantonio,MurrayState
texassouthern,Nebraska
texasstate,NewOrleans
texastech,NJIT
thecitadel,NorfolkState
toledo,NorthAlabama
towson,NorthDakota
troy,NorthernColorado
tulane,NorthTexas
tulsa,NorthwesternState
utah,Ohio
utahstate,OldDominion
utahvalley,Pacific
valparaiso,Penn
vanderbilt,Portland
vermont,Presbyterian
villanova,Princeton
virginia,Purdue
virginiacommonwealth,Richmond
virginiamilitaryinstitute,SacredHeart
virginiatech,SaintFrancisPA
wagnercollege,SanFrancisco
wakeforest,SanJoseState
washington,SetonHall
washingtonstate,SouthCarolinaState
weberstate,SoutheastMissouriState
westerncarolina,SouthernUtah
westernillinois,SouthFlorida
westernkentucky,StephenF.Austin
westernmichigan,Stetson
westvirginia,StonyBrook
wichitastate,TCU
williammarshrice,TexasSouthern
winthrop,Toledo
wisconsingreenbay,UCIrvine
wisconsinmadison,UIC
wisconsinmilwaukee,UMKC
woffordcollege,UNCAsheville
wrightstate,UTEP
wyoming,UTSA
xavier,VCU
yale,Washington
youngstownstate,WesternCarolina
,Winthrop
,Xavier
,YoungstownState
,WrightState
,Yale
